date,MidSac at WilkinsSlough, Sutter Bypass,Sutter Bypass as a percent of Sacramento,Low sac at SacAmerican,YoloBypass,Yolo as a percent of Sacramento,LowSJ at Merced,UpSac atRedBluff,UpSJ at LanderAve
12/1/1964,12750,20835,1.634117647,24035,609.8,2.54%,1029,8351,499.5
1/1/1965,38103,26540,0.6965330814,75412,32925,43.66%,10082,22596,4557
2/1/1965,55779,0,0,73338,37966,51.77%,12706,42327,8002
3/1/1965,27510,0,0,59301,4050,6.83%,11734,21491,8857
4/1/1965,17191,1589,0.0924320866,48042,1511,3.15%,31865,14726,15652
5/1/1965,4783,0,0,25711,370.4,1.44%,16013,7200,10081
6/1/1965,8597,0,0,18020,830.8,4.61%,10690,14577,8066
7/1/1965,4909,0,0,16533,967.7,5.85%,4085,10665,3016
8/1/1965,4783,0,0,7895,1164,14.74%,2336,9497,1410
9/1/1965,4783,0,0,9000,1164,12.93%,1867,6045,1313
10/1/1965,4783,0,0,9531,832.5,8.73%,1435,5121,1036
11/1/1965,4783,0,0,10720,466.1,4.35%,1726,4460,773.9
12/1/1965,18180,0,0,44540,1211,2.72%,982.8,12397,265.2
1/1/1966,95141,0,0,77667,130727,168.32%,4630,74619,2518
2/1/1966,26234,0,0,61875,9103,14.71%,4998,18921,1449
3/1/1966,22086,0,0,42708,2665,6.24%,3098,18371,1759
4/1/1966,11726,0,0,21426,378.1,1.76%,2449,10790,1498
5/1/1966,4123,0,0,13931,397.5,2.85%,1726,7010,853.7
6/1/1966,6762,0,0,14643,826,5.64%,1463,13278,712.4
7/1/1966,10867,0,0,22792,1006,4.41%,1171,16325,1216
8/1/1966,4853,0,0,12470,1222,9.80%,1824,9634,1238
9/1/1966,4123,0,0,8091,1104,13.64%,1753,4402,1274
10/1/1966,4123,0,0,9001,702.3,7.80%,905.3,4630,620.9
11/1/1966,11319,0,0,27871,1920,6.89%,1855,7515,841.9
12/1/1966,26999,3463,0.1282640098,43704,3041,6.96%,1342,19655,514.5
1/1/1967,32417,7254,0.2237714779,52001,2577,4.96%,1683,23824,275.5
2/1/1967,10353,4672,0.4512701632,18857,592.5,3.14%,1459,7325,410.9
3/1/1967,22497,4936,0.219407032,42241,1363,3.23%,1532,19109,965.4
4/1/1967,13743,1847,0.1343956924,27622,429.3,1.55%,1891,12135,1356
5/1/1967,6879,307,0.0446285797,16846,297.2,1.76%,1203,7185,326.2
6/1/1967,5636,0,0,17919,731.3,4.08%,810.4,10946,736
7/1/1967,5582,0,0,20644,929.2,4.50%,886.8,12314,956.7
8/1/1967,4685,0,0,16034,1072,6.69%,1215,9159,1231
9/1/1967,4597,0,0,9944,1096,11.02%,1294,5763,1262
10/1/1967,4597,0,0,11317,681.8,6.02%,1201,5051,672
11/1/1967,5993,0,0,16346,560,3.43%,501.9,5189,202.7
12/1/1967,7814,0,0,18168,757.2,4.17%,848.9,5982,471.1
1/1/1968,7770,0,0,18060,205.7,1.14%,832.3,5517,392.3
2/1/1968,10144,9029,0.8900828076,24092,268.8,1.12%,857.1,7071,161.6
3/1/1968,13959,0,0,28796,197.5,0.69%,1741,12143,1294
4/1/1968,10527,0,0,19468,679.9,3.49%,1905,9451,1508
5/1/1968,4415,0,0,10873,686.3,6.31%,1430,6875,757.9
6/1/1968,7590,0,0,15804,709.9,4.49%,840.4,15082,796.4
7/1/1968,8419,0,0,17883,1126,6.30%,843.7,14420,943.9
8/1/1968,3712,0,0,7312,1187,16.23%,1059,8216,1094
9/1/1968,3712,0,0,8627,1165,13.50%,1367,4137,1321
10/1/1968,3966,0,0,9764,684.2,7.01%,752.4,4153,504
11/1/1968,7657,0,0,17694,540,3.05%,2138,5643,1009
12/1/1968,8685,0,0,17157,235,1.37%,856.4,6005,250.6
1/1/1969,25845,36572,1.415051267,48313,5065,10.48%,1011,16233,441.2
2/1/1969,52807,31573,0.5978942186,74157,30360,40.94%,2205,40847,1264
3/1/1969,25475,1964,0.0770951914,50462,4065,8.06%,1675,19946,852
4/1/1969,12302,787,0.0639733377,36508,1171,3.21%,4534,10622,2173
5/1/1969,4628,0,0,15330,1455,9.49%,4832,7482,1740
6/1/1969,8319,0,0,19419,1544,7.95%,763.3,16183,633.4
7/1/1969,6514,0,0,19654,1086,5.53%,1581,11876,1333
8/1/1969,4628,0,0,9830,1382,14.06%,2006,9087,1290
9/1/1969,4628,0,0,8917,1073,12.03%,1521,4807,1095
10/1/1969,4628,0,0,9857,765.9,7.77%,1458,5121,821.2
11/1/1969,17507,0,0,39676,1953,4.92%,1110,13289,768.6
12/1/1969,39523,7565,0.1914075349,73433,9398,12.80%,1861,31508,603
1/1/1970,54724,75013.2,1.370755062,73445,29262,39.84%,2657,43913,641
2/1/1970,23742,9358,0.3941538202,44549,3703,8.31%,2537,17820,356.1
3/1/1970,54424,0,0,74161,40228,54.24%,3213,45195,1470
4/1/1970,23307,0,0,46716,4257,9.11%,4673,19372,3655
5/1/1970,9261,0,0,30991,368.2,1.19%,3486,9778,604.2
6/1/1970,7928,0,0,18055,972.3,5.39%,863.2,15053,851.5
7/1/1970,6804,0,0,18504,970.7,5.25%,1156,11123,1208
8/1/1970,5191,0,0,15553,1194,7.68%,1634,9816,1195
9/1/1970,4594,0,0,9090,1201,13.21%,1599,5856,1171
10/1/1970,4594,0,0,10236,772.7,7.55%,1393,4841,885.6
11/1/1970,5630,0,0,13542,587.4,4.34%,1637,5140,739.6
12/1/1970,8521,7069,0.8295974651,18022,375.6,2.08%,987,6835,362
1/1/1971,6710,10247,1.527123696,12327,211,1.71%,890.7,4934,135.7
2/1/1971,17108,0,0,36423,2363,6.49%,1656,11415,760.3
3/1/1971,52546,6210,0.1181821642,70959,14283,20.13%,2199,43273,1496
4/1/1971,22948,0,0,43211,3899,9.02%,5017,18566,3936
5/1/1971,5523,0,0,31597,284.3,0.90%,3898,7056,473.8
6/1/1971,6549,0,0,17849,804,4.50%,2886,13473,998.4
7/1/1971,4848,0,0,19015,976.5,5.14%,1916,9396,1140
8/1/1971,4522,0,0,12916,1017,7.87%,1975,8497,1161
9/1/1971,4522,0,0,9130,940.9,10.31%,1669,5984,1186
10/1/1971,6471,0,0,15536,818.7,5.27%,1484,6035,1013
11/1/1971,6912,0,0,14552,341.5,2.35%,1812,5948,893.8
12/1/1971,5838,0,0,11991,231.1,1.93%,779.9,4465,175.1
1/1/1972,4713,0,0,9365,240.7,2.57%,535.7,4085,152.2
2/1/1972,6583,0,0,12148,301.4,2.48%,912.9,4600,322.7
3/1/1972,9809,0,0,16291,421.4,2.59%,684.2,8116,354.6
4/1/1972,7497,0,0,14365,365.8,2.55%,413.1,5861,158.7
5/1/1972,4095,0,0,7740,639.2,8.26%,625,6676,511.9
6/1/1972,5428,0,0,8196,915.8,11.17%,667.8,10814,737
