date,MidSac at WilkinsSlough, Sutter Bypass,Sutter Bypass as a percent of Sacramento,Low sac at SacAmerican,YoloBypass,Yolo as a percent of Sacramento,LowSJ at Merced,UpSac atRedBluff,UpSJ at LanderAve
10/1/1921,5000,0,0,10511,19.59,0.19%,204.1,6979,0
11/1/1921,5000,0,0,10257,212.3,2.07%,1058,5529,294.6
12/1/1921,5000,0,0,11674,194.9,1.67%,506.9,4812,88
1/1/1922,6300,0,0,15304,78.21,0.51%,400.3,5153,61.48
2/1/1922,12654,0,0,28713,1984,6.91%,897.2,8628,429.4
3/1/1922,10911,0,0,23930,36.12,0.15%,1259,10117,966.4
4/1/1922,10424,0,0,25187,1519,6.03%,2749,9452,1864
5/1/1922,12296,0,0,20957,116.4,0.56%,625.3,16025,448.4
6/1/1922,8140,0,0,12765,771.8,6.05%,711.8,16931,832.6
7/1/1922,5548,0,0,11559,987.8,8.55%,1137,12318,1290
8/1/1922,3473,0,0,10125,1107,10.93%,1117,8548,1247
9/1/1922,4145,0,0,7028,815.8,11.61%,1297,5725,1331
10/1/1922,3846,0,0,8739,570.7,6.53%,1056,5350,626.8
11/1/1922,11181,0,0,27269,1058,3.88%,1906,8270,944.1
12/1/1922,9770,0,0,21389,55.85,0.26%,737,7007,339.3
1/1/1923,10595,0,0,20935,91.14,0.44%,422.9,7205,80.93
2/1/1923,44414,0,0,73540,15938,21.67%,1740,32438,1217
3/1/1923,26547,0,0,52798,2110,4.00%,2012,21229,1457
4/1/1923,13715,0,0,28707,314.5,1.10%,4137,12959,3691
5/1/1923,8032,0,0,20170,284.3,1.41%,2067,11144,530.4
6/1/1923,5261,0,0,17409,748.8,4.30%,3076,12910,2918
7/1/1923,9137,0,0,20687,900.1,4.35%,890.1,15691,1048
8/1/1923,5378,0,0,14918,1280,8.58%,1552,10338,1505
9/1/1923,4480,0,0,8569,1181,13.78%,1521,6387,1210
10/1/1923,4481,0,0,12749,383.2,3.01%,1085,6332,646.8
11/1/1923,6363,0,0,18828,618.6,3.29%,2024,5134,980.4
12/1/1923,8231,0,0,21042,61,0.29%,872.5,6147,89.89
1/1/1924,7522,0,0,18382,123,0.67%,1192,5670,221.5
2/1/1924,8069,0,0,19569,132.8,0.68%,1336,6182,500.6
3/1/1924,22541,0,0,48253,1927,3.99%,1748,18766,963.1
4/1/1924,14050,0,0,23027,343.6,1.49%,3963,12273,3564
5/1/1924,9471,0,0,19236,364.6,1.90%,1848,13500,1219
6/1/1924,7222,0,0,15441,849.1,5.50%,705.5,14692,787.1
7/1/1924,10596,0,0,17052,1023,6.00%,978,16932,1130
8/1/1924,3874,0,0,8026,1259,15.69%,1231,8788,1316
9/1/1924,3439,0,0,7551,1174,15.55%,1519,5212,1497
10/1/1924,5429,0,0,8943,569.3,6.37%,788.6,6958,550.1
11/1/1924,5267,0,0,13546,362.5,2.68%,1994,4775,1116
12/1/1924,5633,0,0,11353,63.1,0.56%,631.5,4684,172
1/1/1925,5964,0,0,10296,63.01,0.61%,473.7,4945,114.3
2/1/1925,6360,18183,2.858962264,13040,120.4,0.92%,588.6,4869,206.1
3/1/1925,6604,0,0,11873,67.55,0.57%,1418,6040,895.7
4/1/1925,6670,0,0,11139,240.6,2.16%,2049,6541,1635
5/1/1925,3250,0,0,7306,571.4,7.82%,1088,7129,491.2
6/1/1925,6621,0,0,11711,661.7,5.65%,929.4,13531,856
7/1/1925,4902,0,0,9227,905.1,9.81%,751.6,11708,933.4
8/1/1925,4187,0,0,6663,1023,15.35%,1302,9827,1415
9/1/1925,4117,0,0,7530,1050,13.94%,1340,6086,1354
10/1/1925,5608,0,0,8752,740.7,8.46%,626.2,6894,463.3
11/1/1925,6314,0,0,9316,459.5,4.93%,907.7,6929,635.1
12/1/1925,8181,0,0,17324,812,4.69%,486.2,6035,114.8
1/1/1926,11077,0,0,19953,147.7,0.74%,411.9,7547,84.03
2/1/1926,11182,5607,0.501430871,25127,115.6,0.46%,614.2,7787,243.7
3/1/1926,8196,0,0,24466,1101,4.50%,1585,6070,1155
4/1/1926,5548,0,0,17195,163.7,0.95%,2131,5114,1782
5/1/1926,5744,0,0,13232,282.9,2.14%,1187,9170,494.6
6/1/1926,4041,0,0,12104,721.6,5.96%,695,12395,585.8
7/1/1926,3250,0,0,11517,917,7.96%,1049,10056,1221
8/1/1926,4008,0,0,8747,1121,12.82%,1116,8768,1244
9/1/1926,3250,0,0,7577,1209,15.96%,1367,5105,1373
10/1/1926,3434,0,0,11546,233.8,2.02%,649.4,4967,425.3
11/1/1926,4709,0,0,8886,533.5,6.00%,1105,5347,612
12/1/1926,3825,0,0,6899,163,2.36%,475.5,3967,109.4
1/1/1927,6424,0,0,15357,108.2,0.70%,492.1,5079,132.5
2/1/1927,5587,47459,8.494540899,16024,73.9,0.46%,396.5,4476,105.3
3/1/1927,4484,0,0,9402,116.1,1.23%,1011,4389,751.6
4/1/1927,4392,2480,0.5646630237,11411,208.1,1.82%,1333,4547,630.1
5/1/1927,4469,0,0,7865,574,7.30%,606.7,7028,560.3
6/1/1927,5661,0,0,8141,740.2,9.09%,657.3,9436,800.4
7/1/1927,4176,0,0,5314,809.2,15.23%,654.3,9566,890.4
8/1/1927,3250,0,0,5034,1230,24.43%,1335,6866,1489
9/1/1927,3250,0,0,6519,1122,17.21%,1197,3867,1232
10/1/1927,4875,0,0,7594,428.7,5.65%,802.3,6355,539.2
11/1/1927,4076,0,0,9230,251,2.72%,515.7,4671,302
12/1/1927,8560,0,0,18602,1470,7.90%,1539,6511,910.3
1/1/1928,10193,0,0,18458,82.44,0.45%,1197,7349,750.1
2/1/1928,6977,0,0,17781,122.9,0.69%,1702,5470,1203
3/1/1928,4738,9634,2.033347404,22092,71.7,0.32%,3196,4620,2666
4/1/1928,4431,0,0,13174,181,1.37%,3797,4555,3368
5/1/1928,3746,0,0,12202,405.1,3.32%,2560,6552,1897
6/1/1928,4615,0,0,15272,479.9,3.14%,2603,11900,2557
7/1/1928,4514,0,0,12521,850.2,6.79%,977.2,11118,1135
8/1/1928,3250,0,0,7596,1173,15.44%,1031,5107,1157
9/1/1928,3250,0,0,7106,967.3,13.61%,1504,4756,1488
10/1/1928,3250,0,0,8813,696.1,7.90%,929.6,3859,746.9
11/1/1928,3250,0,0,10155,416,4.10%,685.7,4194,417.2
12/1/1928,3904,0,0,9210,202.1,2.19%,538.3,4064,168.7
1/1/1929,5191,0,0,11540,106.8,0.93%,653.1,4784,270.8
2/1/1929,5359,0,0,9508,84.68,0.89%,673.7,4565,322.6
