Date,American River,Antelope Creek,Battle Creek,Bear Creek,Bear River,Big Chico Creek,Butte Creek,Calaveras River,Clear Creek,Cosumnes River,Cottonwood Creek,Cow Creek,Deer Creek,Elder Creek,Feather River,Merced River,Mill Creek,Mokelumne River,Paynes Creek,Sacramento River (Upper),Sacramento River (Upper Mid),Sacramento River (Lower),San Joaquin River,Stanislaus River,Stony Creek,Thomes Creek,Tuolumne River,Yuba River,Yolo Bypass,Sutter Bypass
9/30/1974,1170,64.97232462,215.0733494,50.84326906,261.2815786,66.90309052,142.6686284,17.44,150,131.5536886,384.5300749,289.8541507,162.1112399,43.49834566,1000,589.2,137.7629201,621,29.29065182,5613,4715,9788,2097.5,267.3,223.7196002,134.0464321,250,500,0,0
10/31/1974,1141,65.51764996,216.8785018,51.27000649,339.9313367,47.65119075,101.6145887,7.101,200,441.7855471,387.7575105,292.2869529,163.471871,43.86343573,4094,669.7,138.919191,201,29.53649395,5539,4715,10475,1210.85,784.7,159.3424947,135.1715098,915.1,500,0,0
11/30/1974,1416,61.23694358,202.7083784,47.92019398,341.0749499,45.71361976,97.48278263,967,200,117.5535486,362.4227183,273.1898909,152.7911601,40.99754403,3601,349.6,129.8426709,320,27.6066772,4705,4715,12580,1252,200.1,152.8633828,126.3398508,300,636.4,0,0
12/31/1974,1481,51.2062251,169.5043914,40.07078238,122.7293497,34.40424183,73.36590813,24.96,200,86.95904598,303.0572431,228.4409089,127.7637008,34.2820746,3598,409.2,108.5742143,349,23.08465518,4168,4715,11176,419.55,200,115.0455557,105.6451622,579,629,0,0
1/31/1975,1234,71.34058627,236.1537613,55.82667148,257.6102106,51.97836349,110.8421415,228.9,200,83.57927922,422.2197858,318.2642019,178.0005712,47.76183551,3596,306.8,151.2657511,459,32.16157472,4877,6160,17933,944.25,226.9,173.81228,147.1849916,870.3,715.4,0,0
2/28/1975,1683,94.67707299,313.4029037,74.08834336,391.9473599,69.32190035,147.8266604,1099,200,93.38800376,560.3336834,422.3727986,236.2270056,63.38538865,3598,2027.6,200.7468582,1261,42.68206804,8247,13205,30123,2210,229.6,231.8079436,195.3312262,3506,2532,0,0
3/31/1975,7682,73.25844291,242.5023082,57.3274659,409.3737322,73.78001785,157.3334485,597.3,200,66.5243669,433.5703656,326.8201327,182.7857797,49.04582207,5378,1084.1,155.3322445,1987,33.02617779,18481,22634,44448,3111,1741,246.7155997,151.1417815,4925,3923,0,0
4/30/1975,4396,41.85417409,138.54695,32.75245341,204.0252848,37.99066031,81.01382696,4.641,200,69.93964172,247.7083711,186.7195942,104.4295721,28.02096651,5378,371.7,88.74475824,1518,18.86858824,10029,11371,26489,4506.5,1611,127.0383068,86.35065373,1111,3146,0,0
5/31/1975,4330,33.12531226,109.6524081,25.92179321,0.366891903,34.8017083,74.21349223,5.825,277.4,41.75143705,196.0477615,147.7784473,82.65035109,22.17707756,3042,284.9,70.23667033,2304,14.9334658,6999,3800,15194,2109.95,1992,116.3746578,68.34186626,1007,3783,0,0
6/30/1975,5284,17.23735143,57.05960081,13.48887086,17.27710072,20.72500983,44.19539819,11.07,200,50.06607197,102.0169753,76.89917034,43.00859526,11.54024079,6115,2982,36.54891342,1355,7.770897254,15672,7702,19465,1341,938.6,69.30309015,35.56291808,250,1468,0,0
7/31/1975,1821,22.74314425,75.28504234,17.79735926,32.10272497,28.62240781,61.03633826,13.49,85,44.0520674,134.602279,101.4615808,56.74599663,15.22631607,2070,1218.1,48.22302392,767,10.25300424,10519,4910,9807,1321,358,95.71147735,46.9220912,250,676.7,0,0
8/31/1975,1363,23.15385104,76.64457635,18.11875265,85.22547925,28.76405182,61.33838942,13.22,85,7.300924311,137.0329926,103.2938235,57.77074351,15.50128031,4140,1091.4,49.0938588,736,10.43815799,8419,3800,9700,1615.5,338.4,96.18512572,47.76943321,250,500,0,0
9/30/1975,1151,13.73386209,45.4622447,10.7472597,5.277028213,12.8712351,27.44748326,16.43,150,24.97177262,81.28203895,61.26942443,34.26710412,9.194688418,1000,539,29.12035174,740,6.191463444,5276,3800,8155,1273.5,326.8,43.04057627,28.33475981,250,500,0,0
10/31/1975,785.6,17.58440118,58.20841536,13.76045024,19.11168463,15.4405799,32.92652609,20.98,200,15.52729848,104.0709432,78.44742663,43.87451264,11.77258725,1700,1111.9,37.28477422,253,7.927353306,4184,3976,9413,1007.85,799.9,51.63229881,36.27892725,396.8,500,0,0
11/30/1975,860.7,23.23382513,76.90930898,18.18133535,124.9189025,17.32018226,36.93471598,343.7,200,54.54492253,137.5063086,103.6506034,57.97028536,15.55482219,1700,357.4,49.26343044,409,10.47421169,5382,6986,13919,1685.5,200.1,57.91756735,47.93443024,300,652.9,0,0
12/31/1975,875.1,57.16630584,189.2336305,44.73476802,279.0536292,52.94106986,112.895081,245,200,96.87842094,338.3311894,255.0299859,142.6345875,38.27229126,1700,362.3,121.2115661,337,25.77156305,7252,10509,20751,539.7,200.3,177.0315077,117.941591,927.6,740.7,0,0
1/31/1976,13940,32.3054858,106.9385939,25.28024842,163.9389094,23.18890879,49.44958126,1275,200,11.98169308,191.1957275,144.1210424,80.60481734,21.62821165,1700,391.6,68.49836579,329,14.5638738,8484,13804,47222,3527,1075,77.54220864,66.65045669,5891,9046,0,0
2/29/1976,12215,48.92041659,161.9378391,38.28205189,202.1519905,38.94035541,83.03902035,1995,200,105.1055032,289.5289889,218.2434734,122.0604224,32.75174781,15418,370.3,103.7275406,372,22.05417303,42524,54173,74309,10705.5,5479,130.2140256,100.9292393,6127,11551,0,0
3/31/1976,2807,30.11981992,99.7035367,23.56988328,150.1046883,27.74286849,59.16074973,220.5,200,39.74552945,178.2601543,134.3703626,75.15140301,20.16492939,10003,296.1,63.86402777,412,13.57853768,19597,23757,44145,6968,1648,92.77035482,62.14114115,4972,4314,0,0
4/30/1976,1698,39.79871569,131.7429095,31.14398049,183.5685466,34.76360513,74.13223849,4.678,200,30.43807754,235.5434135,177.5497953,99.30103599,26.6448569,7862,318.8,84.38650334,209,17.94195191,12238,13661,28895,7433,2451,116.2472433,82.10997329,6567,3449,0,0
5/31/1976,2749,23.86496671,78.9985329,18.6752272,105.710252,33.8397399,72.16212643,5.785,277.4,11.45987468,141.2416362,106.4662485,59.545035,15.9773654,3178,283.6,50.60166034,88,10.75874128,7577,5036,14566,2637,2245,113.1578978,49.23655816,1060,3435,0,0
6/30/1976,4140,12.56410778,41.59008868,9.831883285,41.25319262,14.50809926,30.93804195,10.7,200,38.57929408,74.35900339,56.0509234,31.34847187,8.41154917,2961,262.7,26.64008386,8,5.664117893,12055,6379,18073,4559,1144,48.51414397,25.92140316,5163,4691,0,0
